"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.075644403E2,6.501149253E1,2.551676187E1,1.253397222E1,1.339999914E0,1.133000031E2,3.000000000E0,1.000000000E2
2.085737778E2,6.501148432E1,2.551679070E1,1.153397164E1,1.159999967E0,1.144000015E2,3.000000000E0,1.000000000E2
2.095459558E2,6.501147912E1,2.551681878E1,1.153397013E1,1.379999995E0,1.143000031E2,3.000000000E0,1.000000000E2
2.105433614E2,6.501147439E1,2.551684527E1,1.253396865E1,1.370000005E0,1.154000015E2,3.000000000E0,1.000000000E2
2.115644016E2,6.501147003E1,2.551687117E1,1.253396710E1,1.299999952E0,1.140000000E2,3.500000000E0,1.000000000E2
2.125455886E2,6.501146487E1,2.551689388E1,1.253396620E1,1.179999948E0,1.191999969E2,3.000000000E0,1.000000000E2
2.135744480E2,6.501145813E1,2.551690796E1,1.153396686E1,1.360000014E0,1.210000000E2,3.000000000E0,1.000000000E2
2.145634140E2,6.501145331E1,2.551693562E1,1.153396526E1,1.350000024E0,1.195999985E2,3.000000000E0,1.000000000E2
2.155579999E2,6.501144979E1,2.551695725E1,1.153396393E1,1.209999919E0,1.149000015E2,3.500000000E0,1.000000000E2
2.165623155E2,6.501144358E1,2.551698164E1,1.153396319E1,1.350000024E0,1.146999969E2,3.000000000E0,1.000000000E2
2.175491204E2,6.501143847E1,2.551701542E1,1.153396099E1,1.409999967E0,1.103000031E2,3.000000000E0,1.000000000E2
2.185492034E2,6.501143449E1,2.551704585E1,1.153395878E1,1.339999914E0,1.079000015E2,3.000000000E0,1.000000000E2
2.195498375E2,6.501142871E1,2.551707694E1,1.153395712E1,1.209999919E0,1.060000000E2,3.000000000E0,1.000000000E2
2.205496337E2,6.501142669E1,2.551710427E1,1.153395460E1,1.110000014E0,1.070000000E2,3.000000000E0,1.000000000E2
2.215489609E2,6.501142334E1,2.551713713E1,1.053395190E1,1.289999962E0,1.060000000E2,3.000000000E0,1.000000000E2
2.225530720E2,6.501141907E1,2.551716755E1,1.053394980E1,1.209999919E0,1.111999969E2,3.000000000E0,1.000000000E2
2.235525562E2,6.501141291E1,2.551718834E1,1.053394947E1,1.269999981E0,1.200999985E2,3.000000000E0,1.000000000E2
2.245760615E2,6.501140645E1,2.551720938E1,1.053394920E1,1.090000033E0,1.261999969E2,3.000000000E0,1.000000000E2
2.255602893E2,6.501140075E1,2.551723603E1,1.053394802E1,1.289999962E0,1.240999985E2,3.000000000E0,1.000000000E2
2.265709191E2,6.501139681E1,2.551726512E1,1.053394596E1,1.169999957E0,1.240999985E2,3.000000000E0,1.000000000E2
2.275497477E2,6.501139028E1,2.551728951E1,1.053394533E1,1.259999990E0,1.205000000E2,3.000000000E0,1.000000000E2
2.285650659E2,6.501138344E1,2.551731348E1,1.053394486E1,1.240000010E0,1.198000031E2,3.000000000E0,1.000000000E2
2.295538606E2,6.501137791E1,2.551733402E1,1.153394434E1,1.120000005E0,1.196999969E2,3.000000000E0,1.000000000E2
2.305423553E2,6.501137225E1,2.551736260E1,1.153394292E1,1.129999995E0,1.165999985E2,3.000000000E0,1.000000000E2
2.315474601E2,6.501136848E1,2.551738674E1,1.153394138E1,1.189999938E0,1.160000000E2,3.000000000E0,1.000000000E2
2.325537050E2,6.501136341E1,2.551740853E1,1.153394055E1,1.259999990E0,1.120999985E2,3.000000000E0,1.000000000E2
2.335646829E2,6.501135880E1,2.551743376E1,1.153393917E1,1.189999938E0,1.081999969E2,3.000000000E0,1.000000000E2
2.345657587E2,6.501135448E1,2.551745622E1,1.053393801E1,1.269999981E0,1.109000015E2,3.000000000E0,1.000000000E2
2.355604083E2,6.501135050E1,2.551748422E1,1.053393609E1,1.209999919E0,1.130000000E2,3.000000000E0,1.000000000E2
2.365392980E2,6.501134531E1,2.551751247E1,1.053393455E1,1.269999981E0,1.134000015E2,3.000000000E0,1.000000000E2
2.375487922E2,6.501133961E1,2.551754390E1,1.153393281E1,1.389999986E0,1.120999985E2,3.000000000E0,1.000000000E2
2.385576594E2,6.501133156E1,2.551757349E1,1.153393208E1,1.279999971E0,1.100999985E2,3.000000000E0,1.000000000E2
2.395395566E2,6.501132544E1,2.551760207E1,1.153393082E1,1.179999948E0,1.109000015E2,3.000000000E0,1.000000000E2
2.405587543E2,6.501132117E1,2.551762696E1,1.153392936E1,1.110000014E0,1.115000000E2,3.000000000E0,1.000000000E2
2.415580335E2,6.501131802E1,2.551765303E1,1.153392738E1,1.169999957E0,1.106999969E2,3.000000000E0,1.000000000E2
2.425517841E2,6.501131660E1,2.551768488E1,1.053392413E1,1.299999952E0,1.175999985E2,3.000000000E0,1.000000000E2
2.435622916E2,6.501131274E1,2.551771631E1,1.153392177E1,1.409999967E0,1.140999985E2,3.000000000E0,1.000000000E2
2.445618504E2,6.501130822E1,2.551774506E1,1.153391994E1,1.259999990E0,1.106999969E2,3.000000000E0,1.000000000E2
2.455693612E2,6.501130356E1,2.551777147E1,1.153391843E1,1.059999943E0,1.060000000E2,3.000000000E0,1.000000000E2
2.465452201E2,6.501129895E1,2.551779385E1,1.153391738E1,1.009999990E0,1.104000015E2,3.000000000E0,1.000000000E2
2.475558705E2,6.501129271E1,2.551781120E1,1.153391747E1,1.269999981E0,1.116999969E2,3.000000000E0,1.000000000E2
2.485580781E2,6.501128818E1,2.551783299E1,1.153391646E1,1.120000005E0,1.110999985E2,3.000000000E0,1.000000000E2
2.495689482E2,6.501128416E1,2.551786308E1,1.253391430E1,1.289999962E0,1.105999985E2,3.000000000E0,1.000000000E2
2.505523191E2,6.501127901E1,2.551788663E1,1.253391330E1,1.159999967E0,1.141999969E2,3.000000000E0,1.000000000E2
2.515467047E2,6.501127808E1,2.551791178E1,1.253391067E1,1.250000000E0,1.075999985E2,3.000000000E0,1.000000000E2
2.525797070E2,6.501127574E1,2.551794782E1,1.253390724E1,1.389999986E0,1.041999969E2,3.000000000E0,1.000000000E2
2.535529850E2,6.501127129E1,2.551798160E1,1.253390480E1,1.299999952E0,1.045000000E2,3.000000000E0,1.000000000E2
2.545568429E2,6.501126677E1,2.551800884E1,1.353390315E1,1.149999976E0,1.049000015E2,3.000000000E0,1.000000000E2
2.555711080E2,6.501126388E1,2.551803843E1,1.353390067E1,1.379999995E0,1.030000000E2,3.000000000E0,1.000000000E2
2.565474685E2,6.501126212E1,2.551807154E1,1.353389739E1,1.319999933E0,9.880000305E1,3.000000000E0,1.000000000E2
2.575603742E2,6.501126140E1,2.551810255E1,1.453389400E1,1.319999933E0,1.019000015E2,3.000000000E0,1.000000000E2
2.585608236E2,6.501125763E1,2.551813139E1,1.453389190E1,1.299999952E0,1.015000000E2,3.000000000E0,1.000000000E2
2.595554102E2,6.501125457E1,2.551816081E1,1.353388950E1,1.399999976E0,9.959999847E1,3.000000000E0,1.000000000E2
2.605607569E2,6.501125223E1,2.551819760E1,1.353388599E1,1.189999938E0,1.049000015E2,3.000000000E0,1.000000000E2
2.615561947E2,6.501124841E1,2.551823490E1,1.453388291E1,1.419999957E0,1.030999985E2,3.000000000E0,1.000000000E2
2.625437762E2,6.501124493E1,2.551826231E1,1.453388089E1,1.230000019E0,9.769999695E1,3.000000000E0,1.000000000E2
2.635703504E2,6.501124083E1,2.551828897E1,1.453387916E1,1.149999976E0,1.076999969E2,3.000000000E0,1.000000000E2
2.645577049E2,6.501123487E1,2.551831721E1,1.353387787E1,1.329999924E0,1.070000000E2,3.000000000E0,1.000000000E2
2.655516406E2,6.501123085E1,2.551834454E1,1.353387604E1,1.209999919E0,1.065000000E2,3.000000000E0,1.000000000E2
2.665508353E2,6.501122586E1,2.551837387E1,1.353387430E1,1.370000005E0,1.060000000E2,3.000000000E0,1.000000000E2
2.675541536E2,6.501122159E1,2.551839651E1,1.353387310E1,1.399999976E0,1.055999985E2,3.000000000E0,1.000000000E2
2.685344452E2,6.501121602E1,2.551842651E1,1.353387147E1,1.360000014E0,1.095999985E2,3.000000000E0,1.000000000E2
2.695426925E2,6.501121321E1,2.551845510E1,1.353386908E1,1.370000005E0,1.121999969E2,3.000000000E0,1.000000000E2
2.705404094E2,6.501121057E1,2.551848410E1,1.353386658E1,1.090000033E0,1.050000000E2,3.000000000E0,1.000000000E2
2.715414059E2,6.501120797E1,2.551851310E1,1.353386406E1,1.279999971E0,1.079000015E2,3.000000000E0,1.000000000E2
2.725418572E2,6.501120390E1,2.551853573E1,1.353386279E1,1.149999976E0,1.079000015E2,3.000000000E0,1.000000000E2
2.735731005E2,6.501119929E1,2.551855266E1,1.353386237E1,1.309999943E0,1.125999985E2,3.000000000E0,1.000000000E2
2.745682298E2,6.501119514E1,2.551857613E1,1.253386103E1,1.240000010E0,1.123000031E2,3.000000000E0,1.000000000E2
2.755599167E2,6.501119141E1,2.551860346E1,1.253385910E1,1.240000010E0,1.115000000E2,3.000000000E0,1.000000000E2
2.765469102E2,6.501118836E1,2.551862575E1,1.253385752E1,1.149999976E0,1.126999969E2,3.000000000E0,1.000000000E2
2.775489865E2,6.501118404E1,2.551865023E1,1.253385612E1,1.149999976E0,1.154000015E2,3.000000000E0,1.000000000E2
2.785510961E2,6.501117457E1,2.551867546E1,1.353385638E1,1.279999971E0,1.231999969E2,3.000000000E0,1.000000000E2
2.795554502E2,6.501116799E1,2.551869423E1,1.253385641E1,1.159999967E0,1.174000015E2,3.000000000E0,1.000000000E2
2.805478213E2,6.501116468E1,2.551872265E1,1.353385420E1,1.100000024E0,1.105999985E2,3.000000000E0,1.000000000E2
2.815415152E2,6.501116178E1,2.551875114E1,1.353385185E1,1.230000019E0,1.079000015E2,3.000000000E0,1.000000000E2
2.825663146E2,6.501115667E1,2.551877227E1,1.353385111E1,1.250000000E0,1.080000000E2,3.500000000E0,1.000000000E2
2.835844297E2,6.501115181E1,2.551879104E1,1.353385055E1,1.319999933E0,1.100000000E2,3.000000000E0,1.000000000E2
2.845473763E2,6.501114691E1,2.551881619E1,1.353384927E1,1.339999914E0,1.111999969E2,3.000000000E0,1.000000000E2
2.855633563E2,6.501114150E1,2.551883999E1,1.253384832E1,1.240000010E0,1.118000031E2,3.000000000E0,1.000000000E2
2.865625342E2,6.501113643E1,2.551886480E1,1.253384713E1,1.319999933E0,1.129000015E2,2.500000000E0,1.000000000E2
2.875532172E2,6.501113014E1,2.551888668E1,1.353384670E1,1.079999924E0,1.133000031E2,3.000000000E0,1.000000000E2
2.885671475E2,6.501112482E1,2.551890889E1,1.353384590E1,1.230000019E0,1.131999969E2,2.500000000E0,1.000000000E2
2.895830666E2,6.501112008E1,2.551893764E1,1.353384413E1,1.319999933E0,1.115000000E2,2.500000000E0,1.000000000E2
2.905622831E2,6.501111459E1,2.551897109E1,1.353384207E1,1.329999924E0,1.130000000E2,2.500000000E0,1.000000000E2
2.915740801E2,6.501110743E1,2.551900562E1,1.253384046E1,1.379999995E0,1.165999985E2,2.500000000E0,1.000000000E2
2.925623699E2,6.501109854E1,2.551903487E1,1.253384004E1,1.329999924E0,1.150999985E2,2.500000000E0,1.000000000E2
2.935535996E2,6.501109020E1,2.551907033E1,1.253383871E1,1.439999938E0,1.138000031E2,2.500000000E0,1.000000000E2
2.945689539E2,6.501108375E1,2.551910612E1,1.253383670E1,1.409999967E0,1.138000031E2,2.500000000E0,1.000000000E2
2.955647174E2,6.501107776E1,2.551913277E1,1.253383561E1,1.319999933E0,1.123000031E2,2.500000000E0,1.000000000E2
2.965584912E2,6.501107030E1,2.551916027E1,1.253383491E1,1.339999914E0,1.148000031E2,2.500000000E0,1.000000000E2
2.975431820E2,6.501106342E1,2.551917795E1,1.153383517E1,1.299999952E0,1.166999969E2,3.000000000E0,1.000000000E2
2.985730410E2,6.501105471E1,2.551920016E1,1.153383552E1,1.360000014E0,1.189000015E2,2.500000000E0,1.000000000E2
2.995438090E2,6.501104699E1,2.551922020E1,1.153383578E1,1.209999919E0,1.225000000E2,2.500000000E0,1.000000000E2
3.005462212E2,6.501104054E1,2.551924023E1,1.253383562E1,1.139999986E0,1.246999969E2,3.000000000E0,1.000000000E2
3.015525879E2,6.501103505E1,2.551925850E1,1.253383534E1,1.329999924E0,1.200999985E2,2.500000000E0,1.000000000E2
3.025425847E2,6.501102927E1,2.551928080E1,1.253383468E1,1.309999943E0,1.145999985E2,2.500000000E0,1.000000000E2
3.035522736E2,6.501102361E1,2.551931743E1,1.253383230E1,1.459999919E0,1.075999985E2,2.500000000E0,1.000000000E2
3.045521161E2,6.501102197E1,2.551935162E1,1.253382884E1,1.500000000E0,9.519999695E1,3.000000000E0,1.000000000E2
3.055646410E2,6.501101950E1,2.551937928E1,1.153382644E1,1.439999938E0,9.259999847E1,2.500000000E0,1.000000000E2
3.065630614E2,6.501101967E1,2.551942002E1,1.153382160E1,1.409999967E0,8.340000153E1,3.000000000E0,1.000000000E2
3.075551902E2,6.501102315E1,2.551945556E1,1.153381626E1,1.419999957E0,7.400000000E1,3.000000000E0,1.000000000E2
3.085548094E2,6.501102633E1,2.551948758E1,1.153381143E1,1.490000010E0,6.480000305E1,3.000000000E0,1.000000000E2
3.095685543E2,6.501103388E1,2.551951792E1,1.153380531E1,1.299999952E0,6.450000000E1,3.000000000E0,1.000000000E2
3.105564543E2,6.501103509E1,2.551954441E1,1.253380180E1,1.279999971E0,6.700000000E1,3.000000000E0,1.000000000E2
3.115600775E2,6.501103920E1,2.551957400E1,1.253379694E1,1.289999962E0,7.390000153E1,2.500000000E0,1.000000000E2
3.125657464E2,6.501104188E1,2.551959956E1,1.153379303E1,1.399999976E0,7.630000305E1,2.500000000E0,1.000000000E2
3.135556723E2,6.501104578E1,2.551963083E1,1.253378805E1,1.339999914E0,7.759999847E1,2.500000000E0,1.000000000E2
3.145435846E2,6.501104955E1,2.551966108E1,1.253378322E1,1.370000005E0,7.830000305E1,2.500000000E0,1.000000000E2
3.155514955E2,6.501105399E1,2.551968782E1,1.253377858E1,1.360000014E0,8.159999847E1,2.500000000E0,1.000000000E2
3.165471762E2,6.501105521E1,2.551971573E1,1.253377490E1,1.209999919E0,8.290000153E1,3.000000000E0,1.000000000E2
3.175406961E2,6.501105919E1,2.551974205E1,1.153377047E1,1.129999995E0,8.330000305E1,2.500000000E0,1.000000000E2
3.185855998E2,6.501106112E1,2.551976552E1,1.153376706E1,1.090000033E0,7.959999847E1,2.500000000E0,1.000000000E2
3.195820769E2,6.501106380E1,2.551979436E1,1.253376277E1,1.139999986E0,7.959999847E1,2.500000000E0,1.000000000E2
3.205540717E2,6.501106502E1,2.551982126E1,1.153375921E1,1.329999924E0,8.050000000E1,2.500000000E0,1.000000000E2
3.215584351E2,6.501106652E1,2.551984976E1,1.153375536E1,1.350000024E0,7.769999695E1,2.500000000E0,1.000000000E2
3.225435557E2,6.501106556E1,2.551987859E1,1.253375230E1,1.339999914E0,7.680000305E1,2.500000000E0,1.000000000E2
3.235466653E2,6.501106719E1,2.551990986E1,1.153374809E1,1.399999976E0,7.740000153E1,2.500000000E0,1.000000000E2
3.245525213E2,6.501106971E1,2.551995043E1,1.153374248E1,1.500000000E0,8.019999695E1,2.500000000E0,1.000000000E2
3.255564430E2,6.501107235E1,2.551997951E1,1.153373818E1,1.529999971E0,7.719999695E1,2.500000000E0,1.000000000E2
3.265603054E2,6.501107482E1,2.552000793E1,1.153373401E1,1.449999928E0,8.159999847E1,2.500000000E0,1.000000000E2
3.275517707E2,6.501107394E1,2.552003332E1,1.153373133E1,1.370000005E0,8.359999847E1,2.500000000E0,1.000000000E2
3.285455206E2,6.501107675E1,2.552006585E1,1.153372657E1,1.399999976E0,8.109999847E1,2.500000000E0,1.000000000E2
3.295535203E2,6.501107700E1,2.552010189E1,1.153372226E1,1.360000014E0,8.719999695E1,2.500000000E0,1.000000000E2
3.305636259E2,6.501107901E1,2.552013558E1,1.153371763E1,1.439999938E0,8.700000000E1,2.500000000E0,1.000000000E2
3.315725591E2,6.501108316E1,2.552016467E1,1.053371282E1,1.509999990E0,8.380000305E1,2.500000000E0,1.000000000E2
3.325479212E2,6.501108723E1,2.552019929E1,1.053370738E1,1.480000019E0,8.550000000E1,2.500000000E0,1.000000000E2
3.335463870E2,6.501108987E1,2.552022980E1,1.053370291E1,1.579999924E0,8.409999847E1,2.000000000E0,1.000000000E2
3.345592442E2,6.501109309E1,2.552026089E1,1.053369818E1,1.539999962E0,7.169999695E1,2.500000000E0,1.000000000E2
3.355548164E2,6.501110110E1,2.552029006E1,1.053369205E1,1.519999981E0,6.509999847E1,2.500000000E0,1.000000000E2
3.365507761E2,6.501110638E1,2.552031521E1,1.053368732E1,1.480000019E0,5.950000000E1,3.000000000E0,1.000000000E2
3.375478851E2,6.501111363E1,2.552034614E1,1.053368125E1,1.480000019E0,6.029999924E1,2.500000000E0,1.000000000E2
3.385687337E2,6.501112373E1,2.552037170E1,1.053367484E1,1.669999957E0,4.570000076E1,3.000000000E0,1.000000000E2
3.395520954E2,6.501113530E1,2.552039936E1,1.153366769E1,1.679999948E0,3.740000153E1,3.000000000E0,1.000000000E2
3.405483278E2,6.501114875E1,2.552041336E1,1.153366151E1,1.649999976E0,3.400000000E1,3.000000000E0,1.000000000E2
3.415523184E2,6.501116032E1,2.552043507E1,1.053365505E1,1.610000014E0,3.089999962E1,2.500000000E0,1.000000000E2
3.425734088E2,6.501117092E1,2.552045183E1,1.053364951E1,1.490000010E0,2.760000038E1,3.000000000E0,1.000000000E2
3.435514157E2,6.501118450E1,2.552047396E1,9.533642329E0,1.659999967E0,2.789999962E1,3.000000000E0,1.000000000E2
3.445687610E2,6.501119703E1,2.552049316E1,1.053363585E1,1.559999943E0,2.520000076E1,3.000000000E0,1.000000000E2
3.455647041E2,6.501120734E1,2.552049860E1,1.053363173E1,1.519999981E0,2.560000038E1,3.000000000E0,1.000000000E2
3.465561653E2,6.501122042E1,2.552051478E1,1.053362542E1,1.610000014E0,2.750000000E1,3.000000000E0,1.000000000E2
3.475547380E2,6.501123542E1,2.552052819E1,1.053361878E1,1.649999976E0,2.770000076E1,3.000000000E0,1.000000000E2
3.485487824E2,6.501125080E1,2.552053724E1,1.153361252E1,1.449999928E0,2.720000076E1,3.000000000E0,1.000000000E2
3.495436561E2,6.501126283E1,2.552055149E1,1.153360679E1,1.439999938E0,2.900000000E1,3.000000000E0,1.000000000E2
3.505530394E2,6.501127372E1,2.552057052E1,1.153360089E1,1.559999943E0,2.989999962E1,3.000000000E0,1.000000000E2
3.515613462E2,6.501128768E1,2.552058066E1,1.253359499E1,1.579999924E0,3.029999924E1,3.000000000E0,1.000000000E2
3.525482989E2,6.501129929E1,2.552059734E1,1.253358911E1,1.480000019E0,3.340000153E1,3.000000000E0,1.000000000E2
3.535511357E2,6.501131140E1,2.552061419E1,1.253358305E1,1.559999943E0,3.100000000E1,3.000000000E0,1.000000000E2
3.545568486E2,6.501132255E1,2.552062894E1,1.353357756E1,1.379999995E0,3.120000076E1,3.000000000E0,1.000000000E2
3.555674709E2,6.501133583E1,2.552064051E1,1.353357172E1,1.509999990E0,3.160000038E1,3.000000000E0,1.000000000E2
3.565644776E2,6.501134845E1,2.552065954E1,1.353356523E1,1.449999928E0,3.139999962E1,3.000000000E0,1.000000000E2
3.575491140E2,6.501136073E1,2.552067010E1,1.253355985E1,1.399999976E0,3.129999924E1,3.000000000E0,1.000000000E2
3.585475789E2,6.501137649E1,2.552068317E1,1.253355300E1,1.519999981E0,3.350000000E1,3.000000000E0,1.000000000E2
3.595471813E2,6.501138772E1,2.552070094E1,1.253354713E1,1.529999971E0,3.409999847E1,3.000000000E0,1.000000000E2
3.605483899E2,6.501140134E1,2.552072265E1,1.353353999E1,1.469999909E0,3.229999924E1,3.000000000E0,1.000000000E2
3.615531323E2,6.501141249E1,2.552073103E1,1.353353525E1,1.449999928E0,3.189999962E1,3.000000000E0,1.000000000E2
3.625500591E2,6.501142305E1,2.552075224E1,1.453352921E1,1.379999995E0,3.409999847E1,3.000000000E0,1.000000000E2
3.635543142E2,6.501143441E1,2.552077127E1,1.453352315E1,1.329999924E0,3.479999924E1,3.000000000E0,1.000000000E2
3.645511733E2,6.501144224E1,2.552079046E1,1.453351826E1,1.209999919E0,3.479999924E1,3.000000000E0,1.000000000E2
3.655876782E2,6.501145347E1,2.552080764E1,1.453351246E1,1.379999995E0,3.270000076E1,3.000000000E0,1.000000000E2
3.665514706E2,6.501146554E1,2.552082927E1,1.453350585E1,1.469999909E0,3.440000153E1,3.000000000E0,1.000000000E2
3.675499575E2,6.501147619E1,2.552085081E1,1.353349974E1,1.449999928E0,3.740000153E1,3.000000000E0,1.000000000E2
3.685762944E2,6.501148763E1,2.552085735E1,1.353349512E1,1.419999957E0,3.770000076E1,3.000000000E0,1.000000000E2
3.695503126E2,6.501149694E1,2.552087604E1,1.353348979E1,1.360000014E0,3.729999924E1,3.000000000E0,1.000000000E2
3.705521390E2,6.501150486E1,2.552089071E1,1.353348540E1,1.319999933E0,3.829999924E1,3.000000000E0,1.000000000E2
3.715488429E2,6.501151470E1,2.552091175E1,1.353347962E1,1.439999938E0,4.020000076E1,3.000000000E0,1.000000000E2
3.725556084E2,6.501152355E1,2.552093262E1,1.353347420E1,1.409999967E0,4.220000076E1,3.000000000E0,1.000000000E2
3.735692517E2,6.501153348E1,2.552095567E1,1.453346815E1,1.299999952E0,3.620000076E1,3.000000000E0,1.000000000E2
3.745647602E2,6.501154568E1,2.552096908E1,1.353346247E1,1.319999933E0,2.510000038E1,3.500000000E0,1.000000000E2
3.755799630E2,6.501155628E1,2.552097428E1,1.353345829E1,1.139999986E0,8.699999809E0,3.000000000E0,1.000000000E2
3.765471577E2,6.501156738E1,2.552098190E1,1.453345365E1,1.259999990E0,3.566000061E2,3.000000000E0,1.000000000E2
3.775485009E2,6.501157640E1,2.552097671E1,1.353345122E1,1.389999986E0,3.496000061E2,3.000000000E0,1.000000000E2
3.785449360E2,6.501158700E1,2.552096631E1,1.353344885E1,1.409999967E0,3.402999878E2,3.000000000E0,1.000000000E2
3.795593551E2,6.501159735E1,2.552095081E1,1.353344717E1,1.509999990E0,3.365000000E2,3.000000000E0,1.000000000E2
3.805608715E2,6.501160875E1,2.552093513E1,1.353344516E1,1.480000019E0,3.331000061E2,3.000000000E0,1.000000000E2
3.815453459E2,6.501162040E1,2.552092063E1,1.353344292E1,1.449999928E0,3.327999878E2,2.500000000E0,1.000000000E2
3.825646211E2,6.501163234E1,2.552089968E1,1.253344134E1,1.559999943E0,3.327999878E2,2.500000000E0,1.000000000E2
3.835590180E2,6.501164559E1,2.552088082E1,1.353343907E1,1.480000019E0,3.322000122E2,2.500000000E0,1.000000000E2
3.845608006E2,6.501165686E1,2.552086322E1,1.253343732E1,1.549999952E0,3.317999878E2,2.500000000E0,1.000000000E2
3.855618530E2,6.501166629E1,2.552084721E1,1.253343601E1,1.599999905E0,3.350000000E2,2.500000000E0,1.000000000E2
3.865567408E2,6.501167694E1,2.552082877E1,1.253343457E1,1.399999976E0,3.350000000E2,2.500000000E0,1.000000000E2
3.875487145E2,6.501168712E1,2.552081133E1,1.153343317E1,1.500000000E0,3.390000000E2,2.500000000E0,1.000000000E2
3.885533540E2,6.501169936E1,2.552079809E1,1.153343058E1,1.429999948E0,3.415000000E2,2.500000000E0,1.000000000E2
3.895690483E2,6.501171294E1,2.552078392E1,1.153342765E1,1.569999933E0,3.453999939E2,2.500000000E0,1.000000000E2
3.905655027E2,6.501172241E1,2.552076833E1,1.053342627E1,1.449999928E0,3.451000061E2,2.500000000E0,1.000000000E2
3.915534298E2,6.501173515E1,2.552075978E1,1.053342297E1,1.529999971E0,3.437999878E2,2.500000000E0,1.000000000E2
3.925688896E2,6.501174848E1,2.552075392E1,1.053341916E1,1.500000000E0,3.427000122E2,2.500000000E0,1.000000000E2
3.935443540E2,6.501175971E1,2.552074880E1,1.053341596E1,1.449999928E0,3.458999939E2,2.500000000E0,1.000000000E2
3.945451552E2,6.501177186E1,2.552073690E1,9.533413248E0,1.389999986E0,3.463999939E2,2.500000000E0,1.000000000E2
3.955514199E2,6.501178171E1,2.552072366E1,9.533411469E0,1.329999924E0,3.470000000E2,2.500000000E0,1.000000000E2
3.965485403E2,6.501179156E1,2.552070899E1,9.533409855E0,1.379999995E0,3.437999878E2,2.500000000E0,1.000000000E2
3.975488502E2,6.501180271E1,2.552069415E1,9.533407822E0,1.399999976E0,3.418999939E2,2.500000000E0,1.000000000E2
3.985674969E2,6.501181327E1,2.552068125E1,8.533405762E0,1.429999948E0,3.443999939E2,2.500000000E0,1.000000000E2
3.995446303E2,6.501182592E1,2.552066742E1,8.533403102E0,1.519999981E0,3.438999939E2,2.500000000E0,1.000000000E2
4.005450801E2,6.501183988E1,2.552065794E1,8.533399495E0,1.469999909E0,3.425000000E2,2.500000000E0,1.000000000E2
4.015561548E2,6.501185321E1,2.552064428E1,8.533396588E0,1.480000019E0,3.442999878E2,2.500000000E0,1.000000000E2
4.025430784E2,6.501186633E1,2.552063431E1,8.533393322E0,1.419999957E0,3.462999878E2,2.500000000E0,1.000000000E2
4.035661433E2,6.501187810E1,2.552061897E1,7.533391134E0,1.389999986E0,3.462999878E2,2.500000000E0,1.000000000E2
4.045645310E2,6.501189093E1,2.552061008E1,7.533387839E0,1.419999957E0,3.415000000E2,2.500000000E0,1.000000000E2
4.055625207E2,6.501190476E1,2.552060405E1,8.533383873E0,1.329999924E0,3.412000122E2,2.500000000E0,1.000000000E2
4.065807310E2,6.501191913E1,2.552060346E1,8.533379087E0,1.389999986E0,3.477999878E2,2.500000000E0,1.000000000E2
4.075508481E2,6.501193271E1,2.552060355E1,8.533374492E0,1.439999938E0,3.522999878E2,2.500000000E0,1.000000000E2
4.085577618E2,6.501194541E1,2.552059751E1,8.533370907E0,1.279999971E0,3.547999878E2,2.500000000E0,1.000000000E2
4.095568887E2,6.501195861E1,2.552058946E1,8.533367387E0,1.419999957E0,3.522999878E2,2.500000000E0,1.000000000E2
4.105503111E2,6.501197303E1,2.552058393E1,8.533363163E0,1.429999948E0,3.535000000E2,2.500000000E0,1.000000000E2
4.115673731E2,6.501198677E1,2.552057882E1,9.533359117E0,1.350000024E0,3.552999878E2,2.500000000E0,1.000000000E2
4.125571604E2,6.501199909E1,2.552057371E1,9.533355551E0,1.120000005E0,3.536000061E2,2.500000000E0,1.000000000E2
4.135482170E2,6.501201003E1,2.552057161E1,1.053335210E1,1.299999952E0,3.480000000E2,2.500000000E0,1.000000000E2
4.145523544E2,6.501202080E1,2.552056524E1,1.053334921E1,1.179999948E0,3.493999939E2,2.500000000E0,1.000000000E2
4.155469757E2,6.501203149E1,2.552056449E1,1.153334568E1,1.289999962E0,3.515000000E2,2.500000000E0,1.000000000E2
4.165471872E2,6.501204432E1,2.552055912E1,1.153334198E1,1.259999990E0,3.495000000E2,2.500000000E0,1.000000000E2
4.175515433E2,6.501205659E1,2.552054529E1,1.153333944E1,1.350000024E0,3.421000061E2,2.500000000E0,1.000000000E2
4.185500432E2,6.501206913E1,2.552053280E1,1.153333666E1,1.339999914E0,3.433999939E2,2.500000000E0,1.000000000E2
4.195501337E2,6.501208019E1,2.552052610E1,1.153333371E1,1.159999967E0,3.451000061E2,2.500000000E0,1.000000000E2
4.205482125E2,6.501208941E1,2.552051294E1,1.153333213E1,1.189999938E0,3.452999878E2,3.000000000E0,1.000000000E2
4.215531360E2,6.501210001E1,2.552050422E1,1.153332956E1,1.240000010E0,3.445000000E2,3.000000000E0,1.000000000E2
4.225387312E2,6.501211162E1,2.552049617E1,1.253332658E1,1.199999928E0,3.442999878E2,3.000000000E0,1.000000000E2
4.235621161E2,6.501212139E1,2.552047966E1,1.253332520E1,1.179999948E0,3.403999939E2,3.000000000E0,1.000000000E2
