"event","experiment time","system time","system time text"
"START",0.000000000E0,1765877191.362,"2025-12-16 11:26:31.362 UTC+02:00"
"PAUSE",4.942802170E2,1765877685.642,"2025-12-16 11:34:45.642 UTC+02:00"
